SCH_ID,REGION,DISTRICT,TEHSIL,UC,SCH_PREFIX,SCH_NAME,STATUS,SCH_LEVEL,SCH_GENDER,LONGITUDE,LATITUDE
401020124,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GGELS,MUHAMMAD IBRAHIM CHANDIO,Functional,Elementary,Girls,68.64,24.6508
401020130,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GGPS,IRSHAD NIZAMANI,Functional,Primary,Girls,68.6672,24.7906
401020133,Hyderabad,Badin,Golarchi-S.F.Rao,Kario Ghanwar,GGPS,IQBAL GUJAR,Closed Temporary,Primary,Girls,68.6217,24.6135
401020134,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GGPS,MANSOOR NIZAMANI,Functional,Primary,Girls,68.6653,24.7903
401020136,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GGPS,YOUSIF ZENDPUR,Functional,Primary,Girls,68.6311,24.6547
401020138,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GGPS,ALI MUHAMMAD NOTKANI@ MISSRI SAMEJO,Functional,Primary,Girls,68.6136,24.7867
401020139,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GGPS,ALLAH DINO JALALANI,Functional,Primary,Girls,68.6206,24.6592
401020289,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,MITHOO MEMON,Functional,Primary,Boys,68.6475,24.6658
401020296,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,ALLAH DINO JALALANI,Functional,Primary,Boys,68.6208,24.6592
401020297,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,SALEH SAMEJO,Functional,Primary,Mixed,68.6408,24.7136
401020298,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,ABDULLAH SAMOON,Functional,Primary,Mixed,68.6575,24.7594
401020299,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,MIR OTHO @ Hadi Bux Noohani,Closed Temporary,Primary,Boys,68.6339,24.7503
401020355,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,HAJI RUSTAM MAHERI,Functional,Primary,Mixed,68.6536,24.7642
401020356,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,HAJI MUHAMMAD BUX NIZAMANI,Functional,Primary,Boys,68.6275,24.7797
401020357,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,SHADI NOTKANI,Functional,Primary,Mixed,68.6189,24.7981
401020371,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,MUHAMMAD KHAN KHOSO@MUHAMMAD URIS O,Functional,Primary,Mixed,68.6775,24.6539
401020381,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,RAMZAN SARKI,Functional,Primary,Mixed,68.6344,24.7214
401020382,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,PERSU MAL KHOLHI,Functional,Primary,Mixed,68.6303,24.6253
401020414,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,SACHEEDINO RAHOJO,Functional,Primary,Boys,68.6367,24.7383
401020415,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,RAJA CHANG,Functional,Primary,Mixed,68.6728,24.8039
401020416,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,MUHAMMAD IQBAL,Functional,Primary,Mixed,68.6267,24.6144
401020419,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,DIL MURAD BROHI,Functional,Primary,Mixed,68.6036,24.6289
401020420,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,BACHAL NOHRI@THANWER KOLHI,Functional,Primary,Mixed,68.655,24.6383
401020421,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,HAJI UMER JUNEJO,Functional,Primary,Mixed,68.6631,24.6994
401020422,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,DAIM KHASKHELI,Functional,Primary,Mixed,68.6361,24.7869
401020423,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,BACHOO NOHRIO,Functional,Primary,Mixed,68.6697,24.6233
401020424,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,ALI MUHAMMAD NOTKANI,Functional,Primary,Mixed,68.6136,24.7867
401020425,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,MIRAN PATEL SAMEJO,Functional,Primary,Boys,68.6442,24.7011
401020426,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,MUHAMMAD ARAB NOHRIO,Functional,Primary,Mixed,68.62,24.5986
401020427,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,JUMOON SAMEJO,Functional,Primary,Mixed,68.6442,24.6782
401020428,Hyderabad,Badin,Golarchi-S.F.Rao,4-Tarai,GBPS,ZAHID HUSSAIN SHAHANI,Closed Temporary,Primary,Boys,68.6525,24.6288
401020429,Hyderabad,Badin,Golarchi-S.F.Rao,4-Tarai,GBPS,KHAMISO NOHRIO,Closed Temporary,Primary,Boys,68.5946,24.6076
401020430,Hyderabad,Badin,Golarchi-S.F.Rao,4-Tarai,GBPS,ALI MUHAMMAD ODHEJO,Closed Temporary,Primary,Boys,68.6642,24.5871
401020443,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,PHOTO KHAN KHOSO,Functional,Primary,Mixed,68.6214,24.6439
401020452,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,MISRI PANHWAR,Functional,Primary,Mixed,68.6478,24.7906
